Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Site
date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,%,m,°C,
5/1/2018 11:49,2.6,0,1.27,0.37,1.25,4.24,100,-1.17,5.35,
5/1/2018 11:49,0,0,2.2,0,1.39,2.2,100,-1.14,5.35,
5/1/2018 11:49,0,0.48,2.53,0,1.28,3.01,100,-0.93,5.26,
5/1/2018 11:49,0,0,1.89,0,1.63,1.89,100,-0.69,5.1,
5/1/2018 11:49,0,0,2.9,0.67,1.09,3.57,100,-0.53,5.12,
5/1/2018 11:49,2.65,0,1.98,0.15,1.36,4.78,100,-0.44,5.21,
5/1/2018 11:49,0,0,1.47,1.05,1.45,2.52,100,-0.29,5.14,
5/1/2018 11:49,5.98,0,0,0.66,1.4,6.64,100,0.01,5.08,Shack
5/1/2018 11:49,6.69,0,1.45,0,1.15,8.14,100,0.04,5.17,Shack
5/1/2018 11:49,0,0.39,1.72,0.29,1.61,2.41,100,0.23,5.11,Shack
5/1/2018 11:49,1.08,0.17,2.54,0,1.39,3.79,100,0.79,4.93,Shack
5/1/2018 11:49,0.91,0,1.91,0.3,1.52,3.12,100,1.12,4.8,Shack
5/1/2018 11:49,0,0,2.24,0.33,1.55,2.57,100,1.16,4.93,Shack
5/1/2018 11:49,2.29,0,2.16,0.36,1.32,4.81,100,1.49,5,Shack
5/1/2018 11:49,1.23,0,1.45,0.52,1.52,3.2,100,1.74,4.93,Shack
5/1/2018 11:50,0,0.45,2.19,0,1.59,2.64,100,1.76,4.95,Shack
5/1/2018 11:50,0.13,0,1.88,0.74,1.49,2.75,100,1.97,5.01,Shack
5/1/2018 11:50,0.46,0.08,1.51,0.67,1.59,2.71,100,2.33,4.88,Shack
5/1/2018 11:50,0.04,0,2.66,0,1.5,2.7,100,2.68,4.77,Shack
5/1/2018 11:50,1.08,0.36,2.39,0,1.42,3.83,100,3.05,4.77,Shack
5/1/2018 11:50,1.37,0,2.14,0.2,1.43,3.7,100,3.2,4.76,Shack
5/1/2018 11:50,0.35,0.05,2.53,0,1.45,2.92,100,3.52,4.79,Shack
5/1/2018 11:50,1.14,0,1.76,0.46,1.46,3.36,100,4.11,4.74,Shack
5/1/2018 11:50,0,0.12,2.31,0.01,1.48,2.45,100,4.62,4.72,Shack
5/1/2018 11:50,0.4,0,2.11,0,1.49,2.51,100,5.07,4.7,Shack
5/1/2018 11:50,1.24,0,1.44,0.35,1.49,3.03,100,5.2,4.71,Shack
5/1/2018 11:50,1.6,0,1.44,0.28,1.51,3.32,100,5.41,4.74,Shack
5/1/2018 11:50,0,0,1.94,0.27,1.51,2.21,100,5.96,4.74,Shack
5/1/2018 11:50,0.69,0,1.39,0.48,1.5,2.56,100,6.33,4.68,Shack
5/1/2018 11:50,0.49,0,1.52,0.35,1.53,2.36,100,6.49,4.71,Shack
5/1/2018 11:50,0.11,0,1.43,0.58,1.53,2.12,100,7.04,4.7,Shack
5/1/2018 11:50,0,0,1.58,0.39,1.51,1.97,100,7.55,4.68,Shack
5/1/2018 11:50,0.46,0,1.46,0.34,1.52,2.25,100,7.66,4.7,Shack
5/1/2018 11:50,0.44,0,1.58,0.37,1.51,2.39,100,7.74,4.78,Shack
5/1/2018 11:50,0.21,0,1.68,0.28,1.49,2.17,100,8.49,4.71,Shack
5/1/2018 11:50,0.15,0,1.38,0.33,1.52,1.87,100,8.95,4.66,Shack
5/1/2018 11:50,0.44,0,1.26,0.4,1.51,2.1,100,9.14,4.67,Shack
5/1/2018 11:50,0.34,0,1.19,0.35,1.53,1.88,100,9.4,4.67,Shack
5/1/2018 11:50,0,0,1.04,0.37,1.56,1.41,100,9.75,4.69,Shack
5/1/2018 11:50,0,0,1.15,0.3,1.55,1.45,100,9.87,4.7,Shack
5/1/2018 11:50,0.32,1.62,2.28,0,1.47,4.22,100,10.16,4.67,Shack
5/1/2018 11:51,0,9.76,6.32,0,0,16.09,4.02,10.17,4.72,Shack
5/1/2018 11:51,0,4.71,5.13,0,1.29,9.84,77.04,9.39,4.72,
5/1/2018 11:51,0.53,0.79,1.84,0.01,1.5,3.17,100,8.6,4.66,
5/1/2018 11:51,0,0,1.19,0.5,1.55,1.69,100,7.72,4.65,
5/1/2018 11:51,0.14,0,1.4,0.39,1.54,1.93,100,6.74,4.65,
5/1/2018 11:51,0.96,0,1.43,0.4,1.51,2.79,100,5.68,4.67,
5/1/2018 11:51,0,0,1.51,0.53,1.57,2.04,100,4.63,4.66,
5/1/2018 11:51,1.37,0,1.47,0.32,1.5,3.16,100,3.73,4.66,
5/1/2018 11:51,1.81,0,1.25,0.61,1.47,3.67,100,2.64,4.67,
5/1/2018 11:51,0,0,1.69,0.6,1.53,2.29,100,1.62,4.68,
5/1/2018 11:51,0,0.43,2.67,0,1.47,3.1,100,0.83,4.71,
5/1/2018 11:51,0,0,1,0.89,1.74,1.89,100,0,4.72,
5/1/2018 11:51,3.63,0.66,2.14,0,1.17,6.43,100,-0.7,4.76,
5/1/2018 11:51,12.32,0,0,0,1.11,12.32,100,-1,4.81,
5/1/2018 11:51,4.82,0,0,0,1.26,4.82,98.49,-1.32,4.87,
5/1/2018 11:51,0,0,0,0,0.01,0,90.41,-1.52,4.96,
5/1/2018 11:51,0,0,0,0,0.37,0,88.73,-1.55,5.08,
5/1/2018 11:51,0,0.96,0,0,0,0.96,91.32,-1.55,5.15,
5/1/2018 11:51,0,1.17,0,0,0.04,1.17,92.65,-1.55,5.2,
5/1/2018 11:51,0,0.91,0,0,0,0.91,92.38,-1.55,5.22,
5/1/2018 11:51,0,1.8,0,0,0,1.8,91.76,-1.55,5.27,
5/1/2018 11:51,0,2.05,0,0,0,2.05,90.91,-1.55,5.31,
5/1/2018 11:51,0,0.01,0,0,0.34,0.01,90.29,-1.55,5.36,
5/1/2018 12:24,0,4.47,0,0,0,4.47,81.24,-1.53,9.69,
5/1/2018 12:24,0,1.68,0,0,0,1.68,81.17,-1.46,9.5,
5/1/2018 12:24,0,0,0,1.11,1.19,1.11,100,-1.28,8.28,
5/1/2018 12:24,0,0,0,0.5,1.62,0.5,100,-1.23,7.42,
5/1/2018 12:24,1,0,0,0.12,1.74,1.12,100,-1.21,7.32,
5/1/2018 12:24,3.83,0.35,0,0.2,1.49,4.38,100,-1.11,7.23,
5/1/2018 12:24,0,0,0,0.59,1.59,0.59,100,-0.97,7.15,
5/1/2018 12:25,0,0.46,0,0.51,1.58,0.97,100,-0.84,6.76,
5/1/2018 12:25,0,0,0.96,0,1.6,0.96,100,-0.67,6.51,
5/1/2018 12:25,0,0.09,0.31,0.9,1.65,1.3,100,-0.51,6.4,
5/1/2018 12:25,0,0,1.03,0,1.67,1.03,100,-0.08,6.01,
5/1/2018 12:25,0,0.2,1.82,0,1.45,2.02,100,0,5.91,B125
5/1/2018 12:25,1.69,0.23,0.98,0,1.49,2.9,100,0.07,6.15,B126
5/1/2018 12:25,1.4,0,0,0.92,1.44,2.32,100,0.11,6.37,B127
5/1/2018 12:25,0,0,1.42,0,1.58,1.42,100,0.31,6.24,B128
5/1/2018 12:25,0,0,0.4,1.17,1.52,1.58,100,0.56,5.71,B129
5/1/2018 12:25,1.92,0.44,1.74,0,1.49,4.1,100,0.96,5.34,B130
5/1/2018 12:25,3.15,0,1.18,0.67,1.52,5,100,1.11,5.24,B131
5/1/2018 12:25,0.45,0.09,1.31,0.84,1.58,2.69,100,1.12,5.35,B132
5/1/2018 12:25,0.76,0,2.06,0.44,1.49,3.25,100,1.45,5.27,B133
5/1/2018 12:25,1.24,0.36,1.8,0.19,1.52,3.58,100,1.78,5.12,B134
5/1/2018 12:25,1.35,0.35,1.75,0,1.63,3.45,100,1.94,5.11,B135
5/1/2018 12:25,0.29,0.16,2.61,0.18,1.5,3.24,100,2.31,5.02,B136
5/1/2018 12:25,0,0.02,3.32,0.63,1.61,3.98,100,3.11,4.88,B137
5/1/2018 12:25,0.6,0,3.46,0.44,1.64,4.51,100,3.2,4.91,B138
5/1/2018 12:25,0.58,0.07,3.49,0.45,1.61,4.6,100,3.36,4.94,B139
5/1/2018 12:25,0.7,0.22,3.57,0.12,1.52,4.61,100,4.22,4.85,B140
5/1/2018 12:25,1.29,0.17,2.86,0.5,1.54,4.82,100,4.68,4.81,B141
5/1/2018 12:25,0.85,0.08,2.82,0.53,1.57,4.28,100,5.14,4.79,B142
5/1/2018 12:25,0.77,0.22,3.17,0.18,1.54,4.34,100,5.19,4.87,B143
5/1/2018 12:25,0.33,0.38,3.5,0.12,1.56,4.34,100,5.21,4.93,B144
5/1/2018 12:25,0.62,0.05,3.3,0.26,1.55,4.24,100,5.94,4.88,B145
5/1/2018 12:25,0.53,0,3,0.51,1.56,4.05,100,6.38,4.83,B146
5/1/2018 12:26,0.88,0.47,3.27,0.09,1.53,4.7,100,6.4,4.85,B147
5/1/2018 12:26,0.87,0.2,3.11,0.2,1.54,4.37,100,6.91,4.82,B148
5/1/2018 12:26,0.94,0.15,2.75,0.19,1.57,4.03,100,7.59,4.79,B149
5/1/2018 12:26,1.04,0.13,2.58,0.24,1.57,3.99,100,7.68,4.83,B150
5/1/2018 12:26,0.75,0.23,2.83,0.08,1.56,3.9,100,7.7,4.83,B151
5/1/2018 12:26,0.5,0.01,2.5,0.49,1.57,3.5,100,7.98,4.81,B152
5/1/2018 12:26,0.36,0.05,2.57,0.41,1.55,3.39,100,8.37,4.78,B153
5/1/2018 12:26,0.98,0.11,2.4,0.32,1.57,3.81,100,8.51,4.81,B154
5/1/2018 12:26,0.34,0.09,2.35,0.44,1.6,3.22,100,9.26,4.79,B155
5/1/2018 12:26,0.36,0.05,2.36,0.51,1.59,3.27,100,9.59,4.77,B156
5/1/2018 12:26,0.18,0.11,2.61,0.34,1.59,3.24,100,9.6,4.8,B157
5/1/2018 12:26,0.42,0.06,2.57,0.35,1.57,3.4,100,9.73,4.82,B158
5/1/2018 12:26,0.25,0.04,2.29,0.5,1.6,3.08,100,10.17,4.8,B159
5/1/2018 12:26,0.57,0.39,2.73,0.03,1.56,3.72,100,10.26,4.8,B160
5/1/2018 12:26,0.4,3.51,3.3,0,1.09,7.21,89.8,10.8,4.79,B161
5/1/2018 12:26,0,2.98,1.22,0,0,4.2,0.15,10.79,4.8,
5/1/2018 12:26,0.72,5.45,4.06,0,1.04,10.24,61.18,10.06,4.81,
5/1/2018 12:26,0.05,0.61,2.89,0.19,1.57,3.73,100,9.26,4.8,
5/1/2018 12:26,0.73,0.15,2.46,0.31,1.58,3.64,100,8.4,4.77,
5/1/2018 12:26,0.14,0.01,2.5,0.46,1.6,3.12,100,7.71,4.77,
5/1/2018 12:26,0,0.24,2.96,0.06,1.56,3.26,100,7.24,4.77,
5/1/2018 12:26,0.18,0.1,2.6,0.36,1.61,3.24,100,6.73,4.78,
5/1/2018 12:26,0.65,0,2.93,0.49,1.55,4.07,100,5.99,4.77,
5/1/2018 12:26,1.18,0,2.63,0.51,1.57,4.31,100,5.45,4.77,
5/1/2018 12:26,0,0.03,3.11,0.33,1.57,3.48,100,4.88,4.78,
5/1/2018 12:27,0.86,0,2.57,0.55,1.59,3.97,100,4.2,4.77,
5/1/2018 12:27,0,0.21,3.42,0.17,1.52,3.8,100,3.5,4.77,
5/1/2018 12:27,1.45,0.25,3.19,0.03,1.51,4.93,100,2.87,4.77,
5/1/2018 12:27,1.5,0,2.91,0.85,1.6,5.26,100,2.27,4.8,
5/1/2018 12:27,2.28,0.13,3.12,0.5,1.57,6.03,100,1.79,4.82,
5/1/2018 12:27,1.98,0.08,1.61,0.9,1.59,4.57,100,1.3,4.86,
5/1/2018 12:27,2.72,0.34,2.18,0.03,1.55,5.26,100,0.89,4.94,
5/1/2018 12:27,1.18,0.55,2.52,0.02,1.58,4.27,100,0.27,5.08,
5/1/2018 12:27,2.84,0.52,1.63,0,1.43,4.99,100,-0.3,5.3,
5/1/2018 12:27,0,0,0.44,0.74,1.61,1.18,100,-0.75,5.5,
5/1/2018 12:27,0,0.16,0.63,0,1.83,0.79,100,-0.96,5.56,
5/1/2018 12:27,0,0.12,1.57,0,1.13,1.69,100,-1.27,6.15,
5/1/2018 12:27,0,0,0.23,0,0,0.23,79.14,-1.52,6.73,
5/1/2018 12:27,0,0.18,0,0,0,0.18,84.43,-1.57,6.68,
5/1/2018 12:27,0,0,0,0,0.68,0,86.14,-1.57,6.58,
5/1/2018 12:27,8.33,0.88,0,0.17,0.01,9.38,87.59,-1.57,6.49,
5/1/2018 12:27,5.49,0,0,0.13,0.01,5.62,88.58,-1.57,6.4,
5/1/2018 12:27,0,0,0,0,0,0,89.16,-1.56,6.33,
5/1/2018 12:27,4.52,0,0.12,0,0,4.65,88.64,-1.57,6.25,
5/1/2018 12:27,1.29,0.83,0.14,0,0,2.26,88.16,-1.56,6.18,
5/1/2018 12:27,0,0,0,0,0,0,87.44,-1.56,6.14,
