Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Site
date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,%,m,°C,
8/10/2018 9:51,0,0.47,0,0.05,0,0.52,95.46,-1.24,25.06,
8/10/2018 9:51,1.76,0.81,0,0,0,2.58,97.41,-1.23,25.05,
8/10/2018 9:51,0,1.36,0,0,0,1.36,96.36,-1.23,25.05,
8/10/2018 9:51,3.56,1.04,0,0,0,4.6,97.04,-1.23,25.06,
8/10/2018 9:51,0,0.7,0,0,0,0.7,95.78,-1.24,25.06,
8/10/2018 9:51,0,1.34,0,0,0.12,1.34,97.51,-1.23,25.06,
8/10/2018 9:51,0,1.85,0,0,0,1.85,97.38,-1.23,25.06,
8/10/2018 9:51,0,1.64,0,0,0.08,1.64,95.78,-1.24,25.08,
8/10/2018 9:51,0,0.46,0,0,0,0.46,95.81,-1.24,25.09,
8/10/2018 9:51,0,0.59,0,0,0.21,0.59,96.69,-1.24,25.09,
8/10/2018 9:51,1.97,0.57,0.43,0,0,2.96,95.28,-1.19,25.12,
8/10/2018 9:51,3.56,6.62,6.41,0,0.64,16.58,100,-0.92,25.32,
8/10/2018 9:51,4.63,6.73,7.15,0,0.55,18.52,100,-0.86,25.45,
8/10/2018 9:51,6.77,6.55,5.78,0,0.56,19.09,100,-0.81,25.44,
8/10/2018 9:51,5.95,6.61,5.9,0,0.54,18.46,100,-0.37,25.38,
8/10/2018 9:51,8.61,6.65,6.03,0,0.46,21.29,100,0.07,25.37,Shack
8/10/2018 9:51,8.3,6.92,6.27,0,0.51,21.49,100,0.12,25.37,Shack
8/10/2018 9:51,7.02,6.78,6.37,0,0.57,20.17,100,0.47,25.34,Shack
8/10/2018 9:51,7.86,6.7,5.74,0,0.64,20.3,100,1.16,25.31,Shack
8/10/2018 9:52,6.04,7.53,6.14,0,0.68,19.71,100,1.59,25.31,Shack
8/10/2018 9:52,6.87,6.94,6.29,0,0.56,20.1,100,1.63,25.32,Shack
8/10/2018 9:52,6.95,6.54,5.96,0,0.62,19.44,100,2.04,25.3,Shack
8/10/2018 9:52,7.11,6.55,5.42,0,0.66,19.07,100,2.34,25.27,Shack
8/10/2018 9:52,6.62,6.88,5.6,0,0.67,19.09,100,2.34,25.29,Shack
8/10/2018 9:52,7.93,6.48,5.27,0,0.67,19.67,100,2.46,25.29,Shack
8/10/2018 9:52,6.72,6.55,5.3,0,0.67,18.58,100,3.3,25.28,Shack
8/10/2018 9:52,6.09,7.15,5.52,0,0.67,18.75,100,3.5,25.28,Shack
8/10/2018 9:52,6.58,6.44,5.35,0,0.67,18.37,100,3.5,25.28,Shack
8/10/2018 9:52,7.56,7.65,4.98,0,0.66,20.18,100,3.75,25.28,Shack
8/10/2018 9:52,7.03,7.07,5.08,0,0.69,19.18,100,4.53,25.28,Shack
8/10/2018 9:52,6.75,6.06,5.02,0,0.71,17.83,100,4.66,25.29,Shack
8/10/2018 9:52,7.53,6.35,4.92,0,0.67,18.8,100,4.65,25.28,Shack
8/10/2018 9:52,6.83,6.24,4.9,0,0.73,17.98,100,4.64,25.28,Shack
8/10/2018 9:52,6.21,6.37,5.07,0,0.73,17.65,100,5.42,25.27,Shack
8/10/2018 9:52,6.97,5.75,4.84,0,0.75,17.55,100,5.8,25.27,Shack
8/10/2018 9:52,6.94,6.8,4.92,0,0.72,18.66,100,5.8,25.27,Shack
8/10/2018 9:52,6.16,6.46,4.98,0,0.75,17.6,100,5.85,25.28,Shack
8/10/2018 9:52,7.08,6.01,4.63,0,0.73,17.73,100,6.85,25.27,Shack
8/10/2018 9:52,7.58,6.04,4.46,0,0.72,18.07,100,7.02,25.27,Shack
8/10/2018 9:52,7.74,7.31,4.68,0,0.71,19.73,100,7.04,25.27,Shack
8/10/2018 9:52,7.17,6.37,4.57,0,0.72,18.11,100,7.87,25.27,Shack
8/10/2018 9:52,6.95,5.82,4.87,0,0.76,17.63,100,8.22,25.27,Shack
8/10/2018 9:52,7.75,7.06,4.5,0,0.7,19.31,100,8.22,25.28,Shack
8/10/2018 9:52,7.33,6.52,4.77,0,0.73,18.63,100,8.35,25.26,Shack
8/10/2018 9:53,6.39,4.77,4.11,0,0.8,15.27,100,8.96,25.21,Shack
8/10/2018 9:53,6.25,4.17,3.89,0,0.84,14.31,100,9.22,25.16,Shack
8/10/2018 9:53,5.05,3.57,3.61,0,0.88,12.23,100,9.37,25.13,Shack
