Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Site
date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,%,m,°C,
7/16/2018 10:15,0.9,0.72,0,0,0,1.62,62.5,-1.22,23.98,
7/16/2018 10:15,0.85,0.39,0,0,0,1.24,59.86,-1.22,24,
7/16/2018 10:15,6.33,0.46,0,0,0,6.79,68.03,-1.08,24.82,
7/16/2018 10:15,0,1.48,1.13,1.97,0.44,4.58,89.36,-1.01,26.01,
7/16/2018 10:15,0,1.94,0,0,0.97,1.94,81.23,-1.01,26.25,
7/16/2018 10:15,0,3.28,2.19,0,0.63,5.47,97.33,-0.88,26.23,
7/16/2018 10:15,0,3.34,0.76,0,0.94,4.1,97.95,-0.68,26.27,
7/16/2018 10:15,0,2.6,1.28,0,0.89,3.88,99.61,-0.15,26.27,
7/16/2018 10:15,0,1.97,2.37,0,0.84,4.34,99.33,0.3,26.3,Shack
7/16/2018 10:16,0,2.94,3.12,0,0.56,6.06,99.6,0.66,26.3,Shack
7/16/2018 10:16,0,2.15,1.44,1.3,0.72,4.88,100,0.77,26.29,Shack
7/16/2018 10:16,0,2.36,2.2,0.47,0.79,5.03,99.63,1.23,26.25,Shack
7/16/2018 10:16,0,1.69,0,1.45,1,3.14,99.72,1.87,26.19,Shack
7/16/2018 10:16,1.34,1.9,1.13,0.78,0.7,5.15,99.85,1.98,26.16,Shack
7/16/2018 10:16,2.01,2.62,1.73,0,0.65,6.37,100,2.22,25.92,Shack
7/16/2018 10:16,0,2.72,1.9,0,0.93,4.62,99.89,2.91,25.38,Shack
7/16/2018 10:16,0,2.27,1.37,0.48,0.92,4.11,99.98,3.28,25.06,Shack
7/16/2018 10:16,0,2.1,1.03,0.62,1,3.75,99.91,3.47,25.01,Shack
7/16/2018 10:16,0,2.63,1.2,0.28,0.98,4.1,99.8,4.05,24.87,Shack
7/16/2018 10:16,0,2.38,0.64,0.5,1.01,3.52,99.97,4.53,24.79,Shack
7/16/2018 10:16,0,2.86,1.33,0,1.01,4.19,99.84,4.56,24.8,Shack
7/16/2018 10:16,0,2.52,1.1,0.21,0.97,3.83,99.92,5,24.68,Shack
7/16/2018 10:16,0,2.71,0.98,0,1.04,3.68,100,5.6,24.41,Shack
7/16/2018 10:16,0,1.92,0.39,0.48,1.07,2.8,100,5.8,24.34,Shack
7/16/2018 10:16,0,2.34,1.02,0,1.02,3.36,100,5.85,24.38,Shack
7/16/2018 10:16,0,1.91,0.36,0.49,1.06,2.75,100,6.38,24.29,Shack
7/16/2018 10:16,0,1.48,0.34,0.46,1.05,2.28,100,7.01,23.77,Shack
7/16/2018 10:16,0,1.31,0,0.68,1.06,1.99,100,7.24,23.61,Shack
7/16/2018 10:16,0,1.57,0.26,0.63,1.04,2.46,99.91,7.27,23.82,Shack
7/16/2018 10:16,0,1.25,0.01,0.56,1.04,1.81,99.8,7.63,23.36,Shack
7/16/2018 10:16,0,1.01,0,0.55,1.03,1.56,99.81,8.24,22.79,Shack
7/16/2018 10:16,0,1.18,0,0.5,1.03,1.68,99.79,8.52,22.74,Shack
7/16/2018 10:16,0,1.11,0,0.43,1.04,1.54,99.82,8.55,22.8,Shack
7/16/2018 10:16,0,1.09,0,0.52,1.02,1.61,99.7,8.68,22.76,Shack
7/16/2018 10:17,0,0.91,0,0.33,1.05,1.24,99.73,9.2,22.51,Shack
7/16/2018 10:17,0,0.93,0,0.34,1.03,1.27,99.52,9.59,22.3,Shack
7/16/2018 10:17,0,0.7,0,0.3,1.04,1,99.47,9.65,22.21,Shack
7/16/2018 10:17,0,0.78,0,0.34,1.04,1.12,99.15,10.07,22.11,Shack
7/16/2018 10:17,0,0.85,0,0.2,1.08,1.06,99.01,10.63,21.75,Shack
7/16/2018 10:17,0,3.86,2.81,0,0.91,6.67,62.6,10.59,21.59,
7/16/2018 10:17,0,1.97,1.29,0,1.03,3.27,84.19,9.72,21.94,
7/16/2018 10:17,0,0.99,0,0.36,1.06,1.34,97.66,8.79,22.23,
7/16/2018 10:17,0,0.92,0,0.48,1.03,1.39,99.48,7.89,22.48,
7/16/2018 10:17,0,1.3,0.01,0.42,1.04,1.73,99.64,7.02,22.7,
7/16/2018 10:17,0,1.58,0.45,0.26,1.04,2.29,99.89,6.2,23.2,
7/16/2018 10:17,0,1.8,0.46,0.23,1.06,2.49,99.99,5.46,23.77,
7/16/2018 10:17,0,2.2,0.79,0,1.02,2.99,100,4.64,24.13,
7/16/2018 10:17,0,2.58,1.2,0,0.96,3.79,99.98,3.81,24.5,
7/16/2018 10:17,0,2.49,1.21,0.16,0.99,3.86,99.84,2.99,24.77,
7/16/2018 10:17,0,2.83,1.5,0,0.96,4.33,99.66,2.2,25.25,
7/16/2018 10:17,0,2.46,2.01,0,0.8,4.47,99.73,1.44,25.87,
