Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Site
date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,%,m,°C,
5/21/2018 9:58,0,0.56,0,0,0,0.56,74.23,-1.1,18.22,
5/21/2018 9:58,1.11,0.57,0,0,0,1.69,74.63,-1.1,18.26,
5/21/2018 9:58,0,1.82,0,0,0,1.82,75.09,-1.09,18.3,
5/21/2018 9:58,0,0,1.03,0.7,0.86,1.73,88.71,-0.94,16.25,
5/21/2018 9:58,1.58,0,2.02,0.93,1.08,4.53,100,-0.68,14.06,
5/21/2018 9:58,0,0.49,2.79,0,1.29,3.29,100,-0.62,14.04,
5/21/2018 9:58,0,0.14,1.73,1,1.26,2.87,100,-0.56,14.09,
5/21/2018 9:58,0.52,0,1.59,0.96,1.32,3.07,100,-0.43,14.09,
5/21/2018 9:58,0,0.03,2.6,0.54,1.19,3.18,100,0.07,13.98,Shack
5/21/2018 9:58,0.89,0,3.13,0.3,1.16,4.31,100,0.73,13.93,Shack
5/21/2018 9:58,0.36,0,3.07,0.75,1.18,4.18,100,1.16,13.94,Shack
5/21/2018 9:58,0,0,3,1,1.2,4,100,1.16,13.96,Shack
5/21/2018 9:58,0,0,4.03,0.47,1.16,4.49,100,1.16,13.96,Shack
5/21/2018 9:58,0,0,3.64,0.71,1.18,4.35,100,1.17,14.06,Shack
5/21/2018 9:58,0,0,3.56,0.8,1.2,4.35,100,2.07,14,Shack
5/21/2018 9:59,0.12,0,3.34,0.81,1.23,4.27,100,2.79,13.88,Shack
5/21/2018 9:59,0,0,4.01,0.52,1.22,4.53,100,3.54,13.74,Shack
5/21/2018 9:59,0,0,3.58,0.95,1.21,4.53,100,3.73,13.77,Shack
5/21/2018 9:59,0,0,3.7,0.84,1.22,4.54,100,3.73,13.79,Shack
5/21/2018 9:59,0.03,0,3.61,0.91,1.24,4.54,100,3.73,13.78,Shack
5/21/2018 9:59,0,0,3.66,0.89,1.26,4.54,100,3.72,13.78,Shack
5/21/2018 9:59,0.08,0,3.77,0.81,1.25,4.67,100,4.13,13.66,Shack
5/21/2018 9:59,0,0,3.97,0.82,1.29,4.78,100,5.15,13.51,Shack
5/21/2018 9:59,0,0,3.83,1.18,1.27,5,100,5.76,13.44,Shack
5/21/2018 9:59,0,0,3.74,1.22,1.34,4.96,100,6.47,13.37,Shack
5/21/2018 9:59,0,0,3.66,1.29,1.38,4.94,100,6.94,13.3,Shack
5/21/2018 9:59,0,0,3.83,1.19,1.34,5.02,100,6.95,13.33,Shack
5/21/2018 9:59,0,0,3.89,1.15,1.36,5.04,100,6.95,13.37,Shack
5/21/2018 9:59,0,0,3.59,1.39,1.36,4.98,100,6.96,13.39,Shack
5/21/2018 9:59,0,0,3.76,1.2,1.35,4.96,100,7.3,13.33,Shack
5/21/2018 9:59,0,0,3.3,1.28,1.43,4.58,100,8.1,13.27,Shack
5/21/2018 9:59,0,0,2.83,1.24,1.43,4.07,100,8.84,13.25,Shack
5/21/2018 9:59,0,0,2.25,1.02,1.46,3.27,100,9.14,13.23,Shack
5/21/2018 9:59,0,0,2.96,1.05,1.43,4.01,100,9.15,13.26,Shack
5/21/2018 9:59,0,0,2.72,1.04,1.43,3.76,100,9.15,13.26,Shack
5/21/2018 9:59,0,0.02,2.04,0.73,1.46,2.79,100,9.59,13.06,Shack
5/21/2018 9:59,0,0.13,1.26,0.45,1.46,1.84,100,10.16,12.65,Shack
5/21/2018 9:59,0,0.17,1,0.46,1.49,1.63,100,10.37,12.35,Shack
5/21/2018 9:59,0,0.09,0.9,0.57,1.51,1.55,100,10.36,12.39,Shack
5/21/2018 9:59,0,0,0.45,0.75,1.53,1.2,100,10.34,12.45,Shack
5/21/2018 10:00,0,0,0.48,0.8,1.53,1.28,100,10.6,12.28,Shack
5/21/2018 10:00,0,0.5,2.04,0.9,1.34,3.43,100,11.22,12.1,Shack
5/21/2018 10:00,0,5.63,8.3,0,0.07,13.93,25.05,11,12.08,
5/21/2018 10:00,0,2.79,5.41,0,1.26,8.19,80.79,10.58,12.16,
5/21/2018 10:00,0,0.44,1.16,0.67,1.49,2.27,100,9.9,12.32,
5/21/2018 10:00,0,0.15,1.61,0.38,1.43,2.14,100,9.09,12.78,
5/21/2018 10:00,0,0.27,2.76,0.06,1.39,3.09,100,8.36,13.13,
5/21/2018 10:00,0,0,2.23,1.11,1.48,3.34,100,7.8,13.19,
5/21/2018 10:00,0,0.05,3.23,1.05,1.39,4.34,100,7,13.21,
5/21/2018 10:00,0,0,3.18,1.34,1.41,4.52,100,6.15,13.24,
5/21/2018 10:00,0,0,3.33,1.5,1.37,4.83,100,5.34,13.28,
5/21/2018 10:00,0,0,3.6,1.21,1.37,4.81,100,4.59,13.34,
5/21/2018 10:00,0,0,3.68,1.13,1.34,4.81,100,3.85,13.44,
5/21/2018 10:00,0,0.04,3.04,1.33,1.27,4.41,100,3.16,13.55,
5/21/2018 10:00,0,0,3.42,1.15,1.23,4.57,100,2.43,13.65,
5/21/2018 10:00,1.89,0,3.16,0.83,1.17,5.88,100,1.67,13.74,
5/21/2018 10:00,0,0,3.19,1.27,1.2,4.46,100,0.98,13.78,
5/21/2018 10:00,2.28,0.37,3.44,0.03,1.09,6.12,100,0.27,13.8,
5/21/2018 10:00,2.52,0,1.48,1,1.24,5,100,-0.43,13.83,
5/21/2018 10:00,0,0,0.39,0,0.88,0.39,90.03,-1,13.86,
5/21/2018 10:00,0,0.66,0,0.35,0,1.01,88.79,-1.15,13.86,
5/21/2018 10:00,0.73,0.69,0,0,0,1.41,77.5,-1.18,13.81,
5/21/2018 10:00,0,0.55,0,0,0.13,0.55,81.41,-1.18,13.77,
5/21/2018 10:00,0,0,0,0,0.03,0,80.57,-1.18,13.77,
5/21/2018 10:00,0.25,0,0,0,0,0.25,78.85,-1.18,13.78,
5/21/2018 10:00,1.32,0,0,0,0.23,1.32,78.58,-1.17,13.78,
5/21/2018 10:01,0,0.33,0,1.15,0,1.49,72.8,-1.17,13.8,
5/21/2018 10:01,0,0,0,0.17,0.48,0.17,74.66,-1.17,13.8,
5/21/2018 10:32,0,0.98,0,0,0,0.98,71.74,-1.16,13.57,
5/21/2018 10:32,0,1.8,1.98,0,0,3.78,68.92,-1.1,13.56,
5/21/2018 10:32,0,0.51,0,0,0,0.51,75.44,-1.08,13.49,
5/21/2018 10:32,7.4,1.54,0,0,0.19,8.94,70.94,-1.04,13.12,
5/21/2018 10:32,1.8,0,1.82,0,0.94,3.61,93.82,-0.95,12.62,
5/21/2018 10:32,8.37,0.48,0,0,1.01,8.85,98.17,-0.64,12.37,
5/21/2018 10:32,0,0.33,3.81,0,1.22,4.14,100,-0.58,12.37,
5/21/2018 10:32,0,0.32,1.95,2.02,1.33,4.29,100,-0.55,12.4,
5/21/2018 10:32,0,0.28,4.18,0,1.23,4.46,100,-0.35,12.39,
5/21/2018 10:32,0,0,2.35,1.55,1.28,3.9,100,0.07,12.32,B109
5/21/2018 10:32,1.95,0,1.48,1.48,1.34,4.92,100,0.41,12.22,B109
5/21/2018 10:32,0.93,0.91,4.43,0,1.17,6.26,100,0.72,12.21,B109
5/21/2018 10:32,0,0,3.54,0.91,1.2,4.45,100,0.49,12.2,B109
5/21/2018 10:32,0,0.41,4.23,0.24,1.34,4.88,100,0.8,12.16,B109
5/21/2018 10:33,0,0.04,2.48,2.29,1.22,4.82,100,0.97,12.16,B109
5/21/2018 10:33,0,0,3.17,1.95,1.17,5.12,100,0.95,12.18,B109
5/21/2018 10:33,0,0,2.91,1.93,1.3,4.84,100,0.96,12.18,B109
5/21/2018 10:33,0,0,3.85,1.26,1.27,5.11,100,1.06,12.14,B109
5/21/2018 10:33,0,0,4.28,1.26,1.36,5.54,100,1.79,12.06,B109
5/21/2018 10:33,0,0,5.58,1.41,1.17,6.99,100,2.44,11.98,B109
5/21/2018 10:33,0,0,5.87,1.57,1.3,7.44,100,3.12,11.9,B109
5/21/2018 10:33,0,0,5.74,1.79,1.25,7.54,100,3.29,11.89,B109
5/21/2018 10:33,0,0,6.44,1.37,1.22,7.81,100,3.36,11.93,B109
5/21/2018 10:33,0,0,5.71,1.83,1.23,7.54,100,3.28,11.93,B109
5/21/2018 10:33,0,0,5.78,1.58,1.27,7.36,100,3.27,11.93,B109
5/21/2018 10:33,0,0,5.72,1.93,1.24,7.65,100,3.48,11.89,B109
5/21/2018 10:33,0,0,5.74,1.68,1.3,7.42,100,3.76,11.86,B109
5/21/2018 10:33,0,0,5.5,2.06,1.35,7.57,100,3.76,11.87,B109
5/21/2018 10:33,0,0,5.92,1.8,1.27,7.71,100,3.76,11.89,B109
5/21/2018 10:33,0.11,0,5.6,1.91,1.25,7.62,100,4.13,11.83,B109
5/21/2018 10:33,0,0,5.43,1.77,1.32,7.2,100,4.92,11.75,B109
5/21/2018 10:33,0,0,5.93,1.55,1.28,7.48,100,5.09,11.75,B109
5/21/2018 10:33,0,0,5.68,1.79,1.32,7.47,100,5.16,11.76,B109
5/21/2018 10:33,0,0,4.55,1.65,1.35,6.2,100,5.66,11.7,B109
5/21/2018 10:33,0,0,3.07,1.77,1.39,4.84,100,6.28,11.63,B109
5/21/2018 10:33,0,0,3.28,1.28,1.4,4.55,100,6.79,11.6,B109
5/21/2018 10:33,0,0,3.23,1.27,1.42,4.49,100,7.11,11.61,B109
5/21/2018 10:33,0,0,3.28,1.54,1.39,4.83,100,7.11,11.63,B109
5/21/2018 10:33,0,0,3.33,1.42,1.43,4.75,100,7.1,11.62,B109
5/21/2018 10:34,0,0,3.37,1.24,1.4,4.6,100,7.26,11.62,B109
5/21/2018 10:34,0.1,0.04,3.06,1.17,1.41,4.37,100,8.03,11.6,B109
5/21/2018 10:34,0,0,2.69,1.38,1.44,4.07,100,8.82,11.58,B109
5/21/2018 10:34,0,0,2.97,1.17,1.39,4.14,100,9.23,11.58,B109
5/21/2018 10:34,0,0,2.84,1.24,1.43,4.08,100,9.35,11.6,B109
5/21/2018 10:34,0,0,2.93,1.2,1.4,4.13,100,9.35,11.6,B109
5/21/2018 10:34,0,0,2.87,1.21,1.43,4.08,100,9.33,11.6,B109
5/21/2018 10:34,0,0,2.77,1.29,1.43,4.07,100,9.33,11.6,B109
5/21/2018 10:34,0,0,2.82,1.23,1.4,4.05,100,10,11.57,B109
5/21/2018 10:34,0,0,2.45,1.37,1.48,3.82,100,10.68,11.48,B109
5/21/2018 10:34,0,0,2.86,1.6,1.57,4.46,100,11.33,11.42,B109
5/21/2018 10:34,0,1.77,4.61,0.39,1.29,6.77,100,11.79,11.31,B109
5/21/2018 10:34,0,4.12,10.25,0,0.41,14.37,45.49,11.58,11.33,
5/21/2018 10:34,0,0.58,3.64,1.12,1.38,5.34,100,10.93,11.41,
5/21/2018 10:34,0,0,2.02,1.54,1.55,3.55,100,10.01,11.29,
5/21/2018 10:34,0,0,2.08,1.33,1.53,3.41,100,9.33,11.33,
5/21/2018 10:34,0,0,2.29,1.27,1.48,3.56,100,8.57,11.49,
5/21/2018 10:34,0.12,0,2.68,1.11,1.42,3.92,100,7.81,11.56,
5/21/2018 10:34,0,0,2.21,1.47,1.47,3.69,100,6.98,11.57,
5/21/2018 10:34,0,0,3.21,1.11,1.42,4.32,100,6.14,11.59,
5/21/2018 10:34,0,0,3.16,1.42,1.42,4.58,100,5.36,11.59,
5/21/2018 10:34,0,0,4.15,1.58,1.29,5.73,100,4.64,11.62,
5/21/2018 10:34,0,0,5.52,1.62,1.32,7.15,100,3.93,11.69,
5/21/2018 10:34,0,0,5.8,1.98,1.32,7.78,100,3.26,11.78,
5/21/2018 10:34,0,0,6.24,2.15,1.23,8.39,100,2.58,11.84,
5/21/2018 10:35,0,0,5.99,1.4,1.15,7.39,100,1.94,11.9,
5/21/2018 10:35,0,0.54,6.52,0.61,1.06,7.67,100,1.28,11.96,
5/21/2018 10:35,0,0,4.83,0.94,1.14,5.77,100,0.64,12.05,
5/21/2018 10:35,0,1.37,4.27,0,1.28,5.65,100,0.14,12.13,
5/21/2018 10:35,4.28,0.15,2.81,0.36,0.96,7.61,100,-0.3,12.24,
