Date/Time,Green Algae,Bluegreen,Diatoms,Cryptophyta,Yellow substances,Total conc.,Transmission,Depth,Temp. Sample,Site
date,µg/l,µg/l,µg/l,µg/l,µg/l,µg/l,%,m,°C,
6/6/2018 7:26,0.18,1.24,0,0,0,1.42,70.68,-1.23,20.07,
6/6/2018 7:26,0.17,1.23,0,0,0,1.39,70.75,-1.23,20.08,
6/6/2018 7:26,0.07,1.26,0,0,0.01,1.32,70.72,-1.23,20.08,
6/6/2018 7:26,0.18,1.19,0,0,0,1.36,70.69,-1.24,20.07,
6/6/2018 7:26,0.03,1.23,0,0,0,1.27,70.74,-1.24,20.08,
6/6/2018 7:26,0.09,1.2,0,0,0,1.29,70.72,-1.23,20.07,
6/6/2018 7:26,0.19,1.22,0,0,0,1.41,70.8,-1.23,20.08,
6/6/2018 7:26,0.17,1.25,0,0,0,1.42,70.65,-1.23,20.08,
6/6/2018 7:26,0.19,1.2,0,0,0,1.39,70.74,-1.24,20.08,
6/6/2018 7:26,0.22,1.16,0,0,0,1.38,70.74,-1.24,20.07,
6/6/2018 7:26,0.11,1.2,0,0,0,1.31,70.75,-1.24,20.07,
6/6/2018 7:26,0.06,1.21,0,0,0,1.27,70.72,-1.24,20.07,
6/6/2018 7:26,0.12,1.21,0,0,0,1.33,70.73,-1.23,20.08,
6/6/2018 7:26,0.2,1.21,0,0,0,1.4,70.76,-1.23,20.08,
6/6/2018 7:26,0.15,1.22,0,0,0,1.37,70.67,-1.23,20.08,
6/6/2018 7:26,0.3,1.2,0,0,0,1.5,70.72,-1.23,20.07,
6/6/2018 7:27,0.3,1.19,0,0,0,1.49,70.74,-1.23,20.08,
6/6/2018 7:27,0.19,1.17,0,0,0,1.36,70.75,-1.23,20.07,
6/6/2018 7:27,0.17,1.18,0,0,0,1.35,70.74,-1.23,20.08,
6/6/2018 7:27,0.23,1.18,0,0,0,1.41,70.73,-1.24,20.08,
6/6/2018 7:27,0.13,1.24,0,0,0,1.37,70.75,-1.23,20.08,
6/6/2018 7:27,0.18,1.2,0,0,0,1.38,70.7,-1.23,20.08,
6/6/2018 7:27,0.19,1.19,0,0,0,1.39,70.69,-1.23,20.07,
6/6/2018 7:27,0.17,1.21,0,0,0,1.38,70.66,-1.24,20.07,
6/6/2018 7:27,0.2,1.22,0,0,0,1.41,70.83,-1.23,20.08,
6/6/2018 7:27,0.23,1.2,0,0,0,1.43,70.76,-1.24,20.08,
6/6/2018 7:27,0.14,1.24,0,0,0,1.38,70.69,-1.23,20.07,
6/6/2018 7:27,0.28,1.22,0,0,0,1.49,70.76,-1.23,20.07,
6/6/2018 7:27,0.23,1.17,0,0,0.01,1.4,70.75,-1.23,20.08,
6/6/2018 7:27,0.11,1.21,0,0,0,1.32,70.71,-1.24,20.08,
6/6/2018 7:27,0.23,1.18,0,0,0,1.42,70.75,-1.23,20.08,
6/6/2018 7:27,0.21,1.19,0,0,0,1.41,70.73,-1.23,20.08,
6/6/2018 7:27,0.14,1.23,0,0,0.01,1.36,70.74,-1.23,20.06,
6/6/2018 7:27,0.2,1.21,0,0,0,1.41,70.72,-1.23,20.07,
6/6/2018 7:27,0.26,1.22,0,0,0,1.47,70.72,-1.24,20.07,
6/6/2018 7:27,0.15,1.18,0,0,0,1.33,70.73,-1.23,20.08,
6/6/2018 7:27,0.24,1.2,0,0,0,1.43,70.7,-1.24,20.08,
6/6/2018 7:27,0.15,1.2,0,0,0,1.35,70.73,-1.23,20.08,
6/6/2018 7:27,0,1.21,0,0,0.02,1.21,70.77,-1.23,20.08,
6/6/2018 7:27,0.15,1.21,0,0,0.01,1.37,70.76,-1.24,20.07,
6/6/2018 7:27,0.2,1.21,0,0,0,1.41,70.64,-1.23,20.07,
6/6/2018 7:28,0.14,1.19,0,0,0,1.33,70.74,-1.23,20.08,
6/6/2018 7:28,0.21,1.24,0,0,0,1.46,70.75,-1.23,20.08,
6/6/2018 7:28,0.33,1.17,0,0,0,1.5,70.7,-1.23,20.07,
6/6/2018 7:28,0.26,1.17,0,0,0,1.43,70.74,-1.23,20.08,
6/6/2018 7:28,0.18,1.19,0,0,0,1.37,70.75,-1.23,20.06,
6/6/2018 7:28,0,1.18,0,0,0.01,1.18,70.76,-1.23,20.07,
6/6/2018 7:28,0.15,1.22,0,0,0,1.37,70.75,-1.24,20.08,
6/6/2018 7:28,0.17,1.16,0,0,0.01,1.33,70.68,-1.24,20.08,
6/6/2018 7:28,0.21,1.18,0,0,0.01,1.39,70.7,-1.24,20.08,
6/6/2018 7:28,0.24,1.18,0,0,0,1.42,70.7,-1.24,20.08,
6/6/2018 7:28,0.08,1.22,0,0,0.01,1.3,70.73,-1.23,20.08,
6/6/2018 7:28,0.12,1.18,0,0,0,1.3,70.69,-1.24,20.08,
6/6/2018 7:28,0.04,1.21,0,0,0,1.26,70.67,-1.24,20.08,
6/6/2018 7:28,0.18,1.23,0,0,0,1.41,70.77,-1.23,20.08,
6/6/2018 7:28,0.19,1.2,0,0,0,1.39,70.69,-1.23,20.08,
6/6/2018 7:28,0.08,1.21,0,0,0,1.28,70.75,-1.23,20.08,
6/6/2018 7:28,0.11,1.2,0,0,0,1.31,70.7,-1.23,20.08,
6/6/2018 7:28,0.21,1.22,0,0,0,1.43,70.72,-1.23,20.07,
6/6/2018 7:28,0.15,1.18,0,0,0,1.33,70.71,-1.23,20.07,
6/6/2018 7:28,0.12,1.2,0,0,0,1.32,70.75,-1.23,20.07,
6/6/2018 7:28,0.22,1.17,0,0,0,1.39,70.69,-1.23,20.08,
6/6/2018 7:28,0.17,1.2,0,0,0,1.37,70.71,-1.23,20.07,
6/6/2018 7:28,0.14,1.22,0,0,0,1.35,70.75,-1.23,20.08,
6/6/2018 7:28,0.14,1.23,0,0,0,1.37,70.76,-1.24,20.07,
6/6/2018 7:28,0.14,1.21,0,0,0,1.35,70.67,-1.24,20.08,
6/6/2018 7:29,0.06,1.19,0,0,0.02,1.25,70.77,-1.23,20.08,
