"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","Analyte","Site"
"656","USGS","0134277114",2016-10-25,"12:31",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.63,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-10-25 12:31:00,"SO4","Treated"
"657","USGS","0134277114",2016-10-25,"12:32",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00681",NA,9.23,NA,"OX023","S",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-10-25 12:32:00,"DOC","Treated"
"658","USGS","0134277114",2016-10-25,"12:32",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.67,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-10-25 12:32:00,"SO4","Treated"
"659","USGS","0134277114",2016-11-15,"10:40",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,3.38,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-11-15 10:40:00,"SO4","Treated"
"660","USGS","0134277114",2016-11-15,"10:41",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,3.38,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-11-15 10:41:00,"SO4","Treated"
"661","USGS","0134277114",2016-11-15,"10:42",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,3.37,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-11-15 10:42:00,"SO4","Treated"
"662","USGS","0134277114",2016-11-15,"11:30",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.61,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-11-15 11:30:00,"SO4","Treated"
"663","USGS","0134277114",2016-11-15,"11:31",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.59,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-11-15 11:31:00,"SO4","Treated"
"664","USGS","0134277114",2016-11-15,"11:32",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","7","9",NA,"00945",NA,2.55,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-11-15 11:32:00,"SO4","Treated"
"665","USGS","0134277114",2016-12-01,"15:20",NA,NA,"EST","K","USGS-WRD","WS","HONNEDAGA",NA,NA,NA,"A","9","9",NA,"00945",NA,2.06,NA,"IC034","R",NA,NA,NA,NA,NA,NA,NA,NA,"USGS-NYL",2016-12-01 15:20:00,"SO4","Treated"
